"ProductName","Provenance","StorageType","Entity","Attribute","DataType","LinkedTo","Property"
"LITE","lite-api","RDBMS-Postgres-Django","picklists_picklistitem","created_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_baseuser","id","text--text","routing_rules_routinghistory","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","good","is_good_controlled","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_govuser","team_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case_flags","flag_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","good","organisation_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","open_general_licence_case","case_ptr_id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","licences_goodonlicence","good_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","users_role","id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","id","varchar--character varying","applications_goodonapplication","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","compliance_compliancevisitcase","case_ptr_id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","no_proof_mark_details","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routinghistory","commit_sha","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","uuid--uuid","cases_case","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","teams_team","id","varchar--character varying","routing_rules_routingrule","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","background_task_completedtask","locked_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","parties_party","id","text--text","applications_partyonapplication","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","letter_templates_lettertemplate","id","uuid--uuid","letter_templates_lettertemplate_decisions","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","parties_partydocument","document_ptr_id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplication","id","int4--integer","applications_goodonapplicationinternaldocument","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routinghistory","orchestrator_type","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","goods_type","id","uuid--uuid","goods_type_flags","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","control_list_entry","text","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","section_certificate_missing","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","cases_casereviewdate","created_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","licences_goodonlicence","id","uuid--uuid","NONE","NOT NULL"
"LITE","lite-api","RDBMS-Postgres-Django","queue","id","varchar--character varying","cases_case_queues","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","letter_templates_lettertemplate_decisions","lettertemplate_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","open_general_licence_case","site_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","goods_type","is_good_controlled","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","background_task","locked_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","django_content_type","app_label","varchar--character varying","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","users_exporteruser","baseuser_ptr_id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","documents_document","id","uuid--uuid","parties_partydocument","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","flag","updated_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","good","is_component","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","queue","countersigning_queue_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","organisation","id","varchar--character varying","good","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","control_list_entry","category","varchar--character varying","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","background_task","repeat","int8--bigint","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","django_admin_log","content_type_id","int4--integer","NONE","UNIQUE"
